CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
113	3	496	0.60	499
114	2	497	0.40	499
115	0	2	0.00	2
116	0	1	0.00	1
117	0	2	0.00	2
118	0	1	0.00	1
119	0	1	0.00	1
120	0	1	0.00	1
121	0	1	0.00	1
122	0	0		0
123	0	0		0
124	0	0		0
125	0	1	0.00	1
126	0	0		0
127	0	0		0
128	0	1	0.00	1
129	0	1	0.00	1

